community_id,community_name,block_name,floor,floor_label,flat_number,full_flat_code
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G1","A-G1"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G2","A-G2"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G4","A-G4"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G5","A-G5"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G6","A-G6"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G7","A-G7"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G8","A-G8"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G9","A-G9"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G10","A-G10"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G11","A-G11"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G12","A-G12"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G13","A-G13"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G14","A-G14"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G15","A-G15"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","G","Ground Floor","G17","A-G17"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","101","A-101"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","102","A-102"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","104","A-104"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","105","A-105"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","106","A-106"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","107","A-107"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","108","A-108"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","109","A-109"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","110","A-110"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","111","A-111"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","112","A-112"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","113","A-113"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","114","A-114"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","115","A-115"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","116","A-116"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","1","Floor 1","117","A-117"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","201","A-201"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","202","A-202"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","203","A-203"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","204","A-204"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","205","A-205"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","206","A-206"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","207","A-207"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","208","A-208"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","209","A-209"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","210","A-210"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","211","A-211"
"64cd9fa6-ad3b-40f0-9f1e-6b9f6a6fce06","IRA Aspiration","A","2","Floor 2","212","A-212"
